name,lat,lon,level,parent,source_name
上砂川町,43.48271,141.984202,municipality,,上砂川町役場
上越市,37.147873,138.236039,municipality,,上越市役所
上郡町,34.873583,134.356098,municipality,,上郡町役場
上里町,36.251615,139.14487,municipality,,上里町役場
上野原市,35.630301,139.108751,municipality,,上野原市役所
上野村,36.083135,138.777334,municipality,,上野村役場
上関町,33.830795,132.110214,municipality,,上関町役場
下京区,34.98756,135.755469,municipality,,下京区役所
下仁田町,36.21247,138.789083,municipality,,下仁田町役場
下北山村,34.004885,135.954153,municipality,,下北山村役場
下呂市,35.805879,137.244061,municipality,,下呂市役所
下妻市,36.184388,139.968231,municipality,,下妻市役所
下川町,44.302576,142.635219,municipality,,下川町役場
下市町,34.360951,135.791872,municipality,,下市町役場
下松市,34.015038,131.870317,municipality,,下松市役所
下條村,35.39733,137.785926,municipality,,下條村役場
下田市,34.69867,138.938735,municipality,,下田市役所
下諏訪町,36.069577,138.080068,municipality,,下諏訪町役場
下郷町,37.255571,139.872084,municipality,,下郷町役場
下野市,36.395227,139.85192,municipality,,下野市役所
下関市,33.957279,130.940935,municipality,,下関市役所
与論町,27.044947,128.421638,municipality,,与論町役場
与謝野町,35.565375,135.152916,municipality,,与謝野町役場
与那原町,26.199577,127.754456,municipality,,与那原町役場
与那国町,24.468034,123.004496,municipality,,与那国町役場
世田谷区,35.646481,139.653208,municipality,,世田谷区役所
世羅町,34.586837,133.056631,municipality,,世羅町役場
中之条町,36.589843,138.841075,municipality,,中之条町役場
中井町,35.330751,139.218766,municipality,,中井町役場
中京区,35.010404,135.751433,municipality,,中京区役所
中原区,35.576258,139.655756,municipality,,中原区役所
中土佐町,33.329273,133.224785,municipality,,中土佐町役場
中城村,26.26201,127.789618,municipality,,中城村役場
中央区,35.670587,139.772003,municipality,,中央区役所
中央市,35.599643,138.517269,municipality,,中央市役所
中富良野町,43.405576,142.425034,municipality,,中富良野町役場
中山町,38.333122,140.283051,municipality,,中山町役場
中島村,37.148756,140.35023,municipality,,中島村役場
中川区,35.141539,136.854816,municipality,,中川区役所
中川村,35.634617,137.945961,municipality,,中川村役場
中川町,44.811488,142.071409,municipality,,中川町役場
中札内村,42.697864,143.134395,municipality,,中札内村役場
中村区,35.176718,136.868633,municipality,,中村区役所
中標津町,43.555191,144.971504,municipality,,中標津町役場
中泊町,40.960427,140.434122,municipality,,中泊町役場
中津川市,35.487493,137.500616,municipality,,中津川市役所
中津市,33.598302,131.18824,municipality,,中津市役所
中種子町,30.532821,130.958847,municipality,,中種子町役場
中能登町,36.98889,136.901476,municipality,,中能登町役場
中野区,35.708904,139.662881,municipality,,中野区役所
中野市,36.742027,138.36947,municipality,,中野市役所
中間市,33.816699,130.709026,municipality,,中間市役所
中頓別町,44.96971,142.286705,municipality,,中頓別町役場
串本町,33.485686,135.787016,municipality,,串本町役場
串間市,31.464539,131.228306,municipality,,串間市役所
丸亀市,34.289886,133.798713,municipality,,丸亀市役所
丸森町,37.911536,140.765365,municipality,,丸森町役場
丹波山村,35.791744,138.917785,municipality,,丹波山村役場
丹波市,35.177259,135.035816,municipality,,丹波市役所
久万高原町,33.655603,132.901665,municipality,,久万高原町役場
久喜市,36.062059,139.666838,municipality,,久喜市役所
久山町,33.646726,130.499906,municipality,,久山町役場
久御山町,34.881502,135.732564,municipality,,久御山町役場
久慈市,40.190466,141.775644,municipality,,久慈市役所
久留米市,33.319286,130.508371,municipality,,久留米市役所
久米南町,34.928971,133.960462,municipality,,久米南町役場
久米島町,26.340669,126.805021,municipality,,久米島町役場
乙部町,41.968504,140.13546,municipality,,乙部町役場
九十九里町,35.535065,140.44025,municipality,,九十九里町役場
九度山町,34.287192,135.562242,municipality,,九度山町役場
九戸村,40.211356,141.418982,municipality,,九戸村役場
九重町,33.228521,131.188797,municipality,,九重町役場
亀山市,34.855755,136.451645,municipality,,亀山市役所
亀岡市,35.013475,135.573512,municipality,,亀岡市役所
二宮町,35.299494,139.255525,municipality,,二宮町役場
二戸市,40.271193,141.304805,municipality,,二戸市役所
二本松市,37.584783,140.431199,municipality,,二本松市役所
五ヶ瀬町,32.68338,131.19691,municipality,,五ヶ瀬町役場
五城目町,39.943895,140.111309,municipality,,五城目町役場
五島市,32.695777,128.84089,municipality,,五島市役所
五戸町,40.531208,141.307813,municipality,,五戸町役場
五所川原市,40.807835,140.446118,municipality,,五所川原市役所
五木村,32.397343,130.827833,municipality,,五木村役場
五條市,34.356358,135.695556,municipality,,五條市役所
五泉市,37.744483,139.182568,municipality,,五泉市役所
五霞町,36.114116,139.745832,municipality,,五霞町役場
井原市,34.597709,133.463798,municipality,,井原市役所
井川町,39.914188,140.081265,municipality,,井川町役場
井手町,34.800697,135.814576,municipality,,井手町役場
亘理町,38.044263,140.867924,municipality,,亘理町役場
交野市,34.787958,135.679978,municipality,,交野市役所
京丹後市,35.624169,135.060997,municipality,,京丹後市役所
京丹波町,35.169997,135.419305,municipality,,京丹波町役場
京極町,42.858216,140.883999,municipality,,京極町役場
京田辺市,34.814442,135.767842,municipality,,京田辺市役所
京都市,35.011574,135.768181,municipality,,京都市役所
京都市北区,35.04097,135.753991,ward,京都市,北区役所（京都市）
京都市南区,34.976756,135.746418,ward,京都市,南区役所（京都市）
京都府,35.021242,135.755613,prefecture,,京都府庁
人吉市,32.205633,130.760157,municipality,,人吉市役所
仁木町,43.151675,140.766168,municipality,,仁木町役場
仁淀川町,33.575286,133.171,municipality,,仁淀川町役場
今別町,41.181875,140.48161,municipality,,今別町役場
今帰仁村,26.682795,127.972915,municipality,,今帰仁村役場
今治市,34.066043,132.997658,municipality,,今治市役所
今金町,42.429373,140.008766,municipality,,今金町役場
仙北市,39.700044,140.730728,municipality,,仙北市役所
仙台市,38.268008,140.869617,municipality,,仙台市役所
仙台市泉区,38.326361,140.881615,ward,仙台市,泉区役所（仙台市）
仙台市青葉区,38.269087,140.870378,ward,仙台市,青葉区役所（仙台市）
伊万里市,33.264741,129.880702,municipality,,伊万里市役所
伊丹市,34.784461,135.400375,municipality,,伊丹市役所
伊予市,33.757461,132.703778,municipality,,伊予市役所
伊仙町,27.673157,128.937712,municipality,,伊仙町役場
伊佐市,32.057152,130.612934,municipality,,伊佐市役所
伊勢原市,35.402985,139.314906,municipality,,伊勢原市役所
伊勢崎市,36.311341,139.19696,municipality,,伊勢崎市役所
伊勢市,34.487506,136.709286,municipality,,伊勢市役所
